frame_nmr,car_id,license_number,license_plate_conf_score
39,1,R183JF,0.9993213357438765
102,5,N894JV,0.974634204887763
112,7,N894JV,0.9892522133893953
126,21,L656XH,0.9998103893719221
270,56,H644LX,0.9997949125830288
300,92,K884RS,0.9997658082870122
347,117,ZI,0.48420239857060937
389,116,66HHF07,0.985616914977476
545,118,L605HZ,0.9998750700861855
